1before|2after|3weight
（セイクリッドセブン）Stone Cold|（アクセルワールド）Burst the Gravity|1
（アクセルワールド）Burst the Gravity|（宇宙兄弟）ユーリカ|1
（宇宙兄弟）ユーリカ|（ちはやふる２）Star|1
（ちはやふる２）Star|（這いよれ! ニャル子さんW）恋は混沌の隷也|1
（這いよれ! ニャル子さんW）恋は混沌の隷也|（ガールス＆パンツァー）Enter Enter MISSION!|1
（ガールス＆パンツァー）Enter Enter MISSION!|（咲-saki- 阿知賀編）Futuristic Player|1
（咲-saki- 阿知賀編）Futuristic Player|（パワプロ８）Little Soldier|1
（パワプロ８）Little Soldier|（氷菓）君にまつわるミステリー|1
（氷菓）君にまつわるミステリー|（そふてにっ）つまさきだち|1
（そふてにっ）つまさきだち|（C3）Endless Story|1
（C3）Endless Story|（俺修羅）W:Wonder Tale|1
（俺修羅）W:Wonder Tale|（カーニバルファンタズム）すーぱー☆あふぇくしょん|1
（カーニバルファンタズム）すーぱー☆あふぇくしょん|（侵略！？イカ娘）High Powered|1
（侵略！？イカ娘）High Powered|（ソードアートオンライン）INNOCENCE|1
（ソードアートオンライン）INNOCENCE|（TIGER&BUNNY）リニアブルーを聴きながら|1
（TIGER&BUNNY）リニアブルーを聴きながら|（青の祓魔師）CORE PRIDE|1
（青の祓魔師）CORE PRIDE|（黒子のバスケ）Can Do|1
（黒子のバスケ）Can Do|end|1
start|（スカイクロラ）今夜も星に抱かれて…|1
（スカイクロラ）今夜も星に抱かれて…|（電脳コイル）空の欠片|1
（電脳コイル）空の欠片|（夏雪ランデブー）あなたに出会わなければ~夏雪冬花~|1
（夏雪ランデブー）あなたに出会わなければ~夏雪冬花~|（NO.6）六等星の夜|1
（NO.6）六等星の夜|（サイコパス）All Alone With You|1
（サイコパス）All Alone With You|（シュタゲ）Another Heaven|1
（シュタゲ）Another Heaven|（Robotics;Notes）Topology|1
（Robotics;Notes）Topology|（進撃の巨人）美しき残酷な世界|1
（進撃の巨人）美しき残酷な世界|（たまゆら）おかえりなさい|1
（たまゆら）おかえりなさい|（東京マグニチュード8.0）M/elody|1
（東京マグニチュード8.0）M/elody|（銀魂）IN MY LIFE|1
（銀魂）IN MY LIFE|（輪廻のラグランジェ2）ジャージ部魂|1
（輪廻のラグランジェ2）ジャージ部魂|（ドンキーコング）明日になったら…|1
（ドンキーコング）明日になったら…|（ハッチポッチ）ハッチポッチファミリー ＜フルサイズ＞|1
（ハッチポッチ）ハッチポッチファミリー ＜フルサイズ＞|（ビーストウォース超生命体トランスフォーマー゙）War War! Stop It|1
（ビーストウォース超生命体トランスフォーマー゙）War War! Stop It|（焼きたてジャパン）To All Tha Dreamers|1
（焼きたてジャパン）To All Tha Dreamers|（アイ！マイ！まいん）キッチンはマイステージ|1
（アイ！マイ！まいん）キッチンはマイステージ|（機動戦艦ナデシコ）私らしく|1
（機動戦艦ナデシコ）私らしく|（ポケモン）ライバル!|1
（ポケモン）ライバル!|（RAVE）Butterfly Kiss|1
（RAVE）Butterfly Kiss|（名探偵コナン）謎|1
（名探偵コナン）謎|（犬夜叉）CHANGE THE WORLD|1
（犬夜叉）CHANGE THE WORLD|（NARUTO）悲しみをやさしさに|1
（NARUTO）悲しみをやさしさに|（ふたつのスピカ）Venus Say・・・|1
（ふたつのスピカ）Venus Say・・・|（鉄のラインバレル）PROUD|1
（鉄のラインバレル）PROUD|（宇宙兄弟）素晴らしき世界|1
（宇宙兄弟）素晴らしき世界|（花咲くいろは）Hazy|1
（花咲くいろは）Hazy|（CCさくら）Catch You Catch Me|1
（CCさくら）Catch You Catch Me|（しまじろう）ハッピー・ジャムジャム|1
（しまじろう）ハッピー・ジャムジャム|（メダロット）やっぱり君が好き!|1
（メダロット）やっぱり君が好き!|（アンパンマン）勇気りんりん|1
（アンパンマン）勇気りんりん|end|1
start|（へうげもの）Bowl Man feat. IKZO|1
（へうげもの）Bowl Man feat. IKZO|（千年女優）ロタティオン (Lotus-2)|1
（千年女優）ロタティオン (Lotus-2)|（朝霧の巫女）KOIBUMI|1
（朝霧の巫女）KOIBUMI|（墓場鬼太郎）モノノケダンス (Video Edit)|1
（墓場鬼太郎）モノノケダンス (Video Edit)|（地獄先生ぬーべー）SPIRIT|1
（地獄先生ぬーべー）SPIRIT|（犬夜叉）CHANGE THE WORLD|1
（犬夜叉）CHANGE THE WORLD|（忍たま）四方八方肘鉄砲(Splash Version)|1
（忍たま）四方八方肘鉄砲(Splash Version)|（NARUTO）悲しみをやさしさに|1
（NARUTO）悲しみをやさしさに|（超訳百人一首うた恋い）ラブレターフロム何か？|1
（超訳百人一首うた恋い）ラブレターフロム何か？|（猫神やおよろず）神サマといっしょ|1
（猫神やおよろず）神サマといっしょ|（神様はじめました）神様はじめました|1
（神様はじめました）神様はじめました|（戦国乙女パラドックス）陽炎|1
（戦国乙女パラドックス）陽炎|（サクラ大戦）檄!帝国華撃団|1
（サクラ大戦）檄!帝国華撃団|（大正野球娘）浪漫ちっくストライク。|1
（大正野球娘）浪漫ちっくストライク。|（ちはやふる）Youthful|1
（ちはやふる）Youthful|（つり球）徒然モノクローム|1
（つり球）徒然モノクローム|（じょしらく）ニッポン笑顔百景|1
（じょしらく）ニッポン笑顔百景|（ボカロ）千本桜|1
（ボカロ）千本桜|（刀語）拍手喝采歌合|1
（刀語）拍手喝采歌合|（戦国BASARA）SWORD SUMMIT|1
（戦国BASARA）SWORD SUMMIT|（戦国コレクション）目をとじてギュッしよ|1
（戦国コレクション）目をとじてギュッしよ|（百花繚乱 サムライブライド）結局、偶然で候|1
（百花繚乱 サムライブライド）結局、偶然で候|（おとめ妖怪ざくろ）MOON SIGNAL|1
（おとめ妖怪ざくろ）MOON SIGNAL|（黄昏乙女×アムネジア）Choir Jail|1
（黄昏乙女×アムネジア）Choir Jail|（魔乳秘剣帖）運命|1
（魔乳秘剣帖）運命|（閃乱カグラ）Break Your World|1
（閃乱カグラ）Break Your World|（織田信奈の野望）Link|1
（織田信奈の野望）Link|（逆境無頼カイジ 破戒録篇）Chase the Light!|1
（逆境無頼カイジ 破戒録篇）Chase the Light!|（銀魂）曇天|1
（銀魂）曇天|end|1
start|（逆境無頼カイジ 破戒録篇）Chase the Light!|1
（逆境無頼カイジ 破戒録篇）Chase the Light!|（わたモテ）私がモテないのはどう考えてもお前らが悪い (TVサイズ)|1
（わたモテ）私がモテないのはどう考えてもお前らが悪い (TVサイズ)|（異国迷路のクロワーゼ）世界は踊るよ、君と。|1
（異国迷路のクロワーゼ）世界は踊るよ、君と。|（きんいろモザイク）Your Voice|1
（きんいろモザイク）Your Voice|（ナジカ電撃作戦）Body & Mind|1
（ナジカ電撃作戦）Body & Mind|（攻殻機動隊）GET9|1
（攻殻機動隊）GET9|（るろうに剣心）TACTICS|1
（るろうに剣心）TACTICS|（ポケモン）めざせポケモンマスター|1
（ポケモン）めざせポケモンマスター|（忍たま）四方八方肘鉄砲(Splash Version)|1
（忍たま）四方八方肘鉄砲(Splash Version)|"（セーラームーンSupers）""らしく""いきましょ"|1
"（セーラームーンSupers）""らしく""いきましょ"|（ちびまる子ちゃん）KinKiのやる気まんまんソング|1
（ちびまる子ちゃん）KinKiのやる気まんまんソング|（おジャ魔女どれみ#）おジャ魔女は ココにいる|1
（おジャ魔女どれみ#）おジャ魔女は ココにいる|（CLAMP学園探偵団）ピアニィ・ピンク|1
（CLAMP学園探偵団）ピアニィ・ピンク|（CCさくら）Catch You Catch Me|1
（CCさくら）Catch You Catch Me|（アンパンマン）勇気りんりん|1
（アンパンマン）勇気りんりん|（シャイニング‧ハーツ）ふわっふわのまほう|1
（シャイニング‧ハーツ）ふわっふわのまほう|（フルメタル・パニック!）tomorrow|1
（フルメタル・パニック!）tomorrow|（カレイドスター）約束の場所へ|1
（カレイドスター）約束の場所へ|（少女革命ウテナ）輪舞・revolution (オープニングテーマ)|1
（少女革命ウテナ）輪舞・revolution (オープニングテーマ)|（爆れつハンター）WHAT'S UP GUYS?|1
（爆れつハンター）WHAT'S UP GUYS?|（クレヨンしんちゃん）SIX COLORS BOY|1
（クレヨンしんちゃん）SIX COLORS BOY|（ストリートファイター2）恋しさと せつなさと 心強さと|1
（ストリートファイター2）恋しさと せつなさと 心強さと|（セイバーマリオネットJ）Successful Mission|1
（セイバーマリオネットJ）Successful Mission|（シャーマンキング）Over Soul|1
（シャーマンキング）Over Soul|（うえきの法則）Falco -ファルコ-|1
（うえきの法則）Falco -ファルコ-|（ガンパレードオーケストラ）Faze to love|1
（ガンパレードオーケストラ）Faze to love|（機動戦士ガンダムSEED）Realize|1
（機動戦士ガンダムSEED）Realize|（ガンダムW EW）White Reflection|1
（ガンダムW EW）White Reflection|（スレイヤーズREVOLUTION）Plenty of grit|1
（スレイヤーズREVOLUTION）Plenty of grit|（それゆけ!宇宙戦艦ヤマモト・ヨーコ）天使の休息|1
（それゆけ!宇宙戦艦ヤマモト・ヨーコ）天使の休息|（六門天外モンコレナイト）Just Fly Away|1
（六門天外モンコレナイト）Just Fly Away|（VS騎士ラムネ&40炎）未来形アイドル|1
（VS騎士ラムネ&40炎）未来形アイドル|（アイカツ）ヒラリ / ヒトリ / キラリ|1
（アイカツ）ヒラリ / ヒトリ / キラリ|（苺ましまろ）いちごコンプリート|1
（苺ましまろ）いちごコンプリート|end|1
start|（ダンガンロンパ）Never Say Never|1
（ダンガンロンパ）Never Say Never|（ペルソナ4）Sky's the Limit|1
（ペルソナ4）Sky's the Limit|（ちょびっツ）Let Me Be With You|1
（ちょびっツ）Let Me Be With You|（妖狐×僕SS）太陽と月|1
（妖狐×僕SS）太陽と月|（STARDRIVER）Cross Over|1
（STARDRIVER）Cross Over|（もやしもんリターンズ）Wake Up|1
